,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sangar,63.9242,127.4739,-54.67,100,94,1.27,RU,1673660420
1,kruisfontein,-34.0033,24.7314,17.16,86,91,0.73,ZA,1673660420
2,mamit,23.9333,92.4833,11.95,51,0,0.95,IN,1673660422
3,saskylakh,71.9167,114.0833,-49.45,100,92,0.93,RU,1673660423
4,tasiilaq,65.6145,-37.6368,-8.91,76,100,4.39,GL,1673660423
5,razole,16.4833,81.8333,18.6,87,82,0.59,IN,1673660424
6,punta arenas,-53.15,-70.9167,9.06,57,75,12.86,CL,1673660425
7,tieli,46.95,128.05,-22.74,68,21,2.53,CN,1673660426
8,hartford,41.7668,-72.7662,4.25,82,100,6.17,US,1673660427
9,ushuaia,-54.8,-68.3,9.81,46,40,14.4,AR,1673660376
10,bage,-31.3314,-54.1069,18.88,88,0,3.09,BR,1673660428
11,berlevag,70.8578,29.0864,1.0,74,14,9.26,NO,1673660430
12,chuy,-33.6971,-53.4616,19.07,77,100,2.11,UY,1673660431
13,vaini,-21.2,-175.2,31.09,74,40,5.14,TO,1673660431
14,salalah,17.0151,54.0924,24.05,73,75,2.57,OM,1673660432
15,roma,43.2128,-75.4557,-2.25,85,100,5.14,US,1673660433
16,miyako,39.6367,141.9525,10.34,78,100,2.77,JP,1673660185
17,lebu,-37.6167,-73.65,13.55,86,7,8.21,CL,1673660434
18,lerwick,60.1545,-1.1494,5.0,77,58,5.01,GB,1673660435
19,puerto ayora,-0.7393,-90.3518,23.64,91,35,0.45,EC,1673660436
20,bredasdorp,-34.5322,20.0403,17.08,85,44,0.81,ZA,1673660437
21,kandrian,-6.2167,149.55,32.08,58,29,5.16,PG,1673660437
22,rikitea,-23.1203,-134.9692,25.6,77,8,7.45,PF,1673660438
23,along,28.1667,94.7667,12.33,86,94,0.53,IN,1673660439
24,ponta do sol,32.6667,-17.1,16.35,74,11,2.82,PT,1673660440
25,kodiak,57.79,-152.4072,3.73,100,100,5.66,US,1673660441
26,busselton,-33.65,115.3333,21.1,37,0,6.15,AU,1673660442
27,hermanus,-34.4187,19.2345,17.74,86,42,1.6,ZA,1673660443
28,yellowknife,62.456,-114.3525,-24.69,84,40,4.12,CA,1673660147
29,torbay,47.6666,-52.7314,0.71,88,100,10.29,CA,1673660443
30,worland,44.0169,-107.9554,3.1,83,0,3.09,US,1673660419
31,hobart,-42.8794,147.3294,31.24,42,20,6.17,AU,1673660290
32,bluff,-46.6,168.3333,15.75,62,7,5.31,NZ,1673660445
33,port alfred,-33.5906,26.891,20.66,92,95,1.99,ZA,1673660445
34,carndonagh,55.25,-7.2667,7.39,88,100,4.9,IE,1673660447
35,severo-kurilsk,50.6789,156.125,-5.71,69,76,10.43,RU,1673660447
36,jamestown,42.097,-79.2353,-3.23,75,100,4.63,US,1673660448
37,baghdad,33.3406,44.4009,10.95,93,100,2.06,IQ,1673660449
38,poum,-20.2333,164.0167,27.7,70,30,7.91,NC,1673660450
39,cape town,-33.9258,18.4232,19.93,80,0,7.72,ZA,1673660450
40,qaanaaq,77.484,-69.3632,-16.4,74,100,2.25,GL,1673660451
41,hilo,19.7297,-155.09,26.85,60,0,6.17,US,1673660452
42,sibi,29.5448,67.8764,6.91,16,0,2.87,PK,1673660453
43,sokoni,-6.4333,39.55,25.92,75,19,4.01,TZ,1673660454
44,nabire,-3.3667,135.4833,30.27,66,42,2.15,ID,1673660455
45,hasaki,35.7333,140.8333,16.22,86,100,11.09,JP,1673660232
46,busayra,30.7376,35.6078,5.24,67,0,1.41,JO,1673660458
47,andenes,69.3143,16.1194,1.99,69,40,8.75,NO,1673660459
48,mehamn,71.0357,27.8492,0.97,80,15,5.14,NO,1673660459
49,biltine,14.5333,20.9167,17.37,20,0,4.02,TD,1673660461
50,lagoa,39.05,-27.9833,15.84,94,100,11.47,PT,1673660461
51,bodden town,19.2833,-81.25,26.0,71,20,3.09,KY,1673660462
52,pacific grove,36.6177,-121.9166,14.81,91,100,5.81,US,1673660463
53,cidreira,-30.1811,-50.2056,21.56,88,100,3.37,BR,1673660463
54,saint-philippe,-21.3585,55.7679,23.77,78,84,4.29,RE,1673660464
55,olafsvik,64.8945,-23.7142,-2.22,79,93,8.84,IS,1673660465
56,hithadhoo,-0.6,73.0833,26.74,69,99,5.19,MV,1673660466
57,sao filipe,14.8961,-24.4956,22.83,66,2,2.14,CV,1673660466
58,port lincoln,-34.7333,135.8667,28.05,41,0,8.09,AU,1673660467
59,vanimo,-2.6741,141.3028,29.4,70,94,1.33,PG,1673660467
60,yining,29.0361,114.5636,8.6,83,100,2.98,CN,1673660468
61,tual,-5.6667,132.75,28.27,75,95,4.15,ID,1673660468
62,nhulunbuy,-12.2333,136.7667,25.34,94,100,3.6,AU,1673660469
63,bathsheba,13.2167,-59.5167,25.34,78,20,5.14,BB,1673660471
64,coihaique,-45.5752,-72.0662,12.97,62,75,1.54,CL,1673660471
65,huarmey,-10.0681,-78.1522,20.88,79,100,2.56,PE,1673660472
66,cabo san lucas,22.8909,-109.9124,23.17,64,0,1.54,MX,1673660473
67,faanui,-16.4833,-151.75,26.35,80,100,9.79,PF,1673660473
68,segezha,63.7415,34.3222,0.39,98,100,5.97,RU,1673660474
69,butaritari,3.0707,172.7902,27.31,80,48,6.69,KI,1673660474
70,hay river,60.8156,-115.7999,-21.01,77,75,4.12,CA,1673660475
71,bagdarin,54.4333,113.6,-25.83,76,100,0.82,RU,1673660476
72,weinan,34.5036,109.5089,-0.82,57,100,2.47,CN,1673660477
73,lithgow,-33.4833,150.15,24.32,40,97,3.13,AU,1673660197
74,aklavik,68.2191,-135.0107,-23.67,98,100,2.34,CA,1673660478
75,ancud,-41.8697,-73.8203,12.36,81,70,2.57,CL,1673660479
76,rawson,-43.3002,-65.1023,22.29,41,63,8.01,AR,1673660479
77,sao jose da coroa grande,-8.8978,-35.1478,25.46,81,25,4.03,BR,1673660480
78,sitka,57.0531,-135.33,5.94,75,100,2.06,US,1673660480
79,vostok,46.4856,135.8833,-22.54,83,88,2.05,RU,1673660480
80,jumla,29.2747,82.1838,0.09,36,1,1.9,NP,1673660481
81,norman wells,65.282,-126.8329,-22.98,77,75,1.03,CA,1673660482
82,ulaangom,49.9811,92.0667,-28.42,93,100,0.63,MN,1673660482
83,shenjiamen,29.9576,122.298,12.34,97,100,5.27,CN,1673660483
84,castro,-24.7911,-50.0119,18.74,97,100,2.11,BR,1673660484
85,bhatkal,13.9667,74.5667,21.94,51,100,1.49,IN,1673660484
86,kapaa,22.0752,-159.319,27.99,64,0,4.12,US,1673660485
87,sakaiminato,35.55,133.2333,11.99,100,75,1.03,JP,1673660486
88,carnarvon,-24.8667,113.6333,28.64,46,0,7.62,AU,1673660486
89,presidencia roque saenz pena,-26.7852,-60.4388,20.51,72,14,1.69,AR,1673660488
90,tiksi,71.6872,128.8694,-37.98,99,98,3.8,RU,1673660489
91,albany,42.6001,-73.9662,0.21,81,100,4.92,US,1673660490
92,airai,-8.9266,125.4092,21.77,66,100,1.14,TL,1673660491
93,klaksvik,62.2266,-6.589,0.51,70,100,10.0,FO,1673660492
94,clyde river,70.4692,-68.5914,-25.87,64,40,1.54,CA,1673660493
95,iqaluit,63.7506,-68.5145,-30.15,69,20,0.0,CA,1673660414
96,cooma,-36.2333,149.1333,30.3,26,0,3.68,AU,1673660495
97,riviere-au-renard,48.9957,-64.3971,-1.84,97,100,9.96,CA,1673660496
98,east london,-33.0153,27.9116,22.55,79,95,1.49,ZA,1673660287
99,tighina,46.8306,29.4711,-1.57,92,98,1.77,MD,1673660499
100,mataura,-46.1927,168.8643,23.42,35,6,1.87,NZ,1673660499
101,touros,-5.1989,-35.4608,26.19,80,24,5.97,BR,1673660501
102,mahajanga,-15.7167,46.3167,25.01,94,40,1.54,MG,1673660501
103,atuona,-9.8,-139.0333,25.42,71,99,2.85,PF,1673660503
104,zemio,5.0314,25.1361,19.45,37,0,1.43,CF,1673660503
105,sabang,5.8933,95.3214,27.13,76,96,3.46,ID,1673660504
106,bilma,18.6853,12.9164,15.4,29,100,3.87,NE,1673660504
107,port blair,11.6667,92.75,23.02,94,20,0.0,IN,1673660505
108,bengkulu,-3.8004,102.2655,26.45,77,100,0.55,ID,1673660325
109,tura,25.5198,90.2201,15.4,46,0,1.14,IN,1673660506
110,verkh-usugli,52.7,115.1667,-28.0,86,43,0.94,RU,1673660508
111,chokurdakh,70.6333,147.9167,-34.54,95,100,2.84,RU,1673660510
112,california city,35.1258,-117.9859,13.1,65,100,4.12,US,1673660511
113,gedo,9.0167,37.45,9.45,56,27,1.31,ET,1673660513
114,shimoda,34.6667,138.95,18.2,95,100,11.01,JP,1673660513
115,isangel,-19.55,169.2667,30.06,66,30,2.06,VU,1673660514
116,atar,20.5169,-13.0499,18.92,23,0,4.25,MR,1673660515
117,faya,18.3851,42.4509,11.29,77,4,1.92,SA,1673660516
118,sibolga,1.7427,98.7792,25.07,87,100,0.92,ID,1673660517
119,kirando,-7.4167,30.6,21.43,81,99,1.7,TZ,1673660517
120,itoman,26.1247,127.6694,24.21,83,40,7.72,JP,1673660519
121,mattru,7.6244,-11.8332,21.97,90,92,1.22,SL,1673660520
122,ballina,-28.8667,153.5667,23.9,74,61,4.0,AU,1673660521
123,dunedin,-45.8742,170.5036,16.0,70,43,0.45,NZ,1673660522
124,north bend,43.4065,-124.2243,12.14,93,100,5.66,US,1673660523
125,esperance,-33.8667,121.9,18.24,53,34,8.41,AU,1673660524
126,acarau,-2.8856,-40.12,25.67,85,68,5.88,BR,1673660524
127,heihe,50.2441,127.4902,-25.34,74,1,2.96,CN,1673660525
128,sorland,67.667,12.6934,1.92,61,100,10.6,NO,1673660526
129,hegang,47.4,130.3667,-21.26,53,2,3.99,CN,1673660527
130,alofi,-19.0595,-169.9187,29.94,51,20,4.63,NU,1673660527
131,kavieng,-2.5744,150.7967,28.26,73,100,2.65,PG,1673660528
132,cordoba,-31.4135,-64.1811,22.33,68,0,3.09,AR,1673660530
133,new norfolk,-42.7826,147.0587,31.05,30,0,0.89,AU,1673660531
134,coos bay,43.3665,-124.2179,12.18,93,100,5.66,US,1673660531
135,tuy hoa,13.0833,109.3,25.77,84,31,1.97,VN,1673660532
136,nikolskoye,59.7035,30.7861,1.94,98,100,3.78,RU,1673660533
137,thompson,55.7435,-97.8558,-12.91,92,0,2.06,CA,1673660533
138,pevek,69.7008,170.3133,-32.11,98,43,2.1,RU,1673660534
139,beringovskiy,63.05,179.3167,-21.17,98,99,7.45,RU,1673660536
